"DFV.id","pred_valid"
27139,0.0413169711828232
36563,0.013483882881701
100835,0.00402447860687971
90879,0.0487264208495617
13307,0.0495425462722778
82556,0.0414962396025658
22211,0.00402619736269116
31291,0.0250071100890636
71492,0.0106932884082198
59819,0.00454808445647359
92428,0.0156135717406869
109825,0.0391700938344002
957,0.00810561422258615
57583,0.033549964427948
113006,0.0288021620362997
9095,0.0193036217242479
103802,0.0428592376410961
104527,0.0408304557204247
33211,0.0056469077244401
9641,0.0172919668257236
46898,0.00619207741692662
3977,0.0211962759494781
15486,0.01960588991642
1681,0.0597223304212093
101926,0.0590992644429207
86771,0.0101790940389037
57657,0.0220707841217518
105737,0.0029982861597091
117181,0.00263499282300472
98784,0.00950260926038027
89177,0.0780558884143829
57135,0.0266975350677967
116873,0.0590174235403538
22067,0.0514766424894333
98724,0.00845694728195667
62841,0.0220742896199226
106369,0.0949698835611343
69728,0.00939015485346317
125292,0.00432366784662008
119735,0.00282269739545882
90516,0.0108120972290635
5122,0.0847393125295639
92470,0.0312384702265263
119836,0.0064897146075964
8024,0.0449910424649715
25622,0.013575641438365
68191,0.033561285585165
73220,0.0204725619405508
113973,0.0182056836783886
95885,0.00969830900430679
65897,0.0373522527515888
69046,0.00710095511749387
13594,0.00739008514210582
17572,0.0137069616466761
39554,0.00222756597213447
12428,0.012114729732275
97921,0.0079205222427845
25505,0.00257246172986925
13676,0.0136357322335243
72775,0.131140500307083
66122,0.00608170917257667
43446,0.00403801631182432
36572,0.023694958537817
64249,0.0141057400032878
94111,0.0107833724468946
90388,0.0448737107217312
24176,0.0133744506165385
42027,0.0166835058480501
125596,0.0192181598395109
29387,0.00241774669848382
99638,0.0796279385685921
101304,0.0544439181685448
99666,0.014702633023262
49876,0.00846531614661217
59371,0.0113390479236841
62304,0.00565702700987458
9234,0.0105531122535467
119277,0.0204487256705761
21949,0.00526408012956381
40955,0.0262502189725637
84107,0.0522304810583591
80367,0.0621852725744247
29818,0.0682013183832169
32718,0.0118423234671354
110238,0.00285697006620467
85339,0.0632773786783218
46148,0.00834266282618046
35498,0.00501459091901779
23258,0.0328471250832081
7683,0.188793361186981
25422,0.00521962298080325
70080,0.0178831592202187
3889,0.00463835755363107
78788,0.00944874249398708
79986,0.00146789546124637
25760,0.00939843058586121
21116,0.127795323729515
105624,0.0205616075545549
56248,0.0130767961964011
61589,0.027682576328516
72165,0.00317960768006742
104224,0.0327284224331379
62908,0.142118364572525
72647,0.0994807630777359
96649,0.00563279911875725
55903,0.00445187604054809
64848,0.0560314767062664
53333,0.0378599502146244
41656,0.0653587132692337
23803,0.00913865026086569
42564,0.00167231704108417
115643,0.0601939782500267
16176,0.00231797737069428
75122,0.0152247743681073
24140,0.0029774506110698
89999,0.0202630329877138
125482,0.00197763578034937
74604,0.00726612424477935
107973,0.0196237247437239
101599,0.0234653931111097
108096,0.0856092646718025
76354,0.00839371420443058
35906,0.00824897643178701
91948,0.0167675577104092
79739,0.0107998596504331
64382,0.00844465661793947
66180,0.0348283760249615
16240,0.0216597691178322
52103,0.0132046174257994
56366,0.0192800033837557
4065,0.00611170660704374
41294,0.00118130724877119
71736,0.00848346203565598
99769,0.0167109463363886
20785,0.0208493284881115
22640,0.0409444458782673
91231,0.0453895404934883
36826,0.00845344085246325
